_timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout,label
1723900234.6688206,16155.703124999998,10724.21875,2445409.984,814.5625,752.734375,893554165,508717960,0,3656157331,0.37,0.24,0.18,28991029248,12560654336,16430374912,43.3,0,0,16832106496,2570080256,84.7,14262026240,2570080256,1.023E+12,6.6375E+11,3.5925E+11,64.9,10892394,2932473,1.71091E+11,1.2733E+11,10977,1513,202051415,598703928,261954,533394,0,0,0,0,normal
1723900235.6703355,16156.234374999998,10724.35938,2445421.328,814.5625,752.734375,893579265,508732457,0,3656275362,0.37,0.24,0.18,28991029248,12587659264,16403369984,43.4,0,0,16832106496,2535149568,84.9,14296956928,2535149568,1.023E+12,6.63749E+11,3.59251E+11,64.9,10892670,2932574,1.71093E+11,1.27337E+11,10978,1513,202404408,598718180,261963,533528,0,0,0,0,normal
1723900236.6724217,16156.531249999998,10724.42188,2445433.016,814.578125,752.734375,893586858,508736910,0,3656309937,0.37,0.24,0.18,28991029248,12567515136,16423514112,43.3,0,0,16832106496,2569879552,84.7,14262226944,2569879552,1.023E+12,6.63749E+11,3.59251E+11,64.9,10892672,2932629,1.71093E+11,1.27338E+11,10978,1513,202760054,598733431,261976,533668,0,0,0,0,normal
1723900237.674603,16156.796874999998,10724.48438,2445444.609,814.578125,752.734375,893594671,508741772,0,3656353643,0.37,0.24,0.18,28991029248,12567052288,16423976960,43.3,0,0,16832106496,2554052608,84.8,14278053888,2554052608,1.023E+12,6.6375E+11,3.59251E+11,64.9,10892846,2932675,1.71093E+11,1.27339E+11,10978,1513,203113958,598748713,261986,533800,0,0,0,0,normal
1723900238.6765661,16156.999999999998,10724.76563,2445456.25,814.578125,752.734375,893619439,508754661,0,3656472498,0.34,0.24,0.18,28991029248,12574584832,16416444416,43.4,0,0,16832106496,2542956544,84.9,14289149952,2542956544,1.023E+12,6.6375E+11,3.59251E+11,64.9,10892919,2932710,1.71097E+11,1.27339E+11,10978,1513,203468120,598762056,261995,533918,0,0,0,0,normal
1723900239.678389,16157.328124999998,10724.98438,2445467.594,814.640625,752.734375,893648605,508769672,0,3656623387,0.34,0.24,0.18,28991029248,12560982016,16430047232,43.3,0,0,16832106496,2557059072,84.8,14275047424,2557059072,1.023E+12,6.6375E+11,3.5925E+11,64.9,10893119,2932748,1.71098E+11,1.27339E+11,10978,1513,203822786,598773192,262006,533994,0,0,0,0,normal
1723900240.680209,16157.749999999998,10725.90625,2445478.453,814.671875,752.734375,893681269,508792772,0,3656760992,0.34,0.24,0.18,28991029248,12591620096,16399409152,43.4,0,0,16832106496,2557427712,84.8,14274678784,2557427712,1.023E+12,6.6375E+11,3.5925E+11,64.9,10893364,2932817,1.71106E+11,1.27343E+11,10978,1513,204194632,598792672,262017,534224,0,0,0,0,normal
1723900241.6825964,16157.859374999998,10726.5,2445489.75,814.6875,752.75,893693859,508815598,0,3656804386,0.34,0.24,0.18,28991029248,12598767616,16392261632,43.5,0,0,16832106496,2579492864,84.7,14252613632,2579492864,1.023E+12,6.6375E+11,3.5925E+11,64.9,10893469,2932902,1.71106E+11,1.27347E+11,10978,1513,204557670,598806267,262029,534338,0,0,0,0,normal
1723900242.6860507,16158.156249999998,10726.78125,2445501.141,814.703125,752.765625,893737286,508871796,0,3657003553,0.34,0.24,0.18,28991029248,12580253696,16410775552,43.4,0,0,16832106496,2525794304,85,14306312192,2525794304,1.023E+12,6.6375E+11,3.5925E+11,64.9,10893533,2932941,1.71107E+11,1.27347E+11,10978,1513,204924349,598824279,262044,534501,0,0,0,0,normal
1723900243.6877747,16158.484374999998,10727.10938,2445512.641,814.71875,752.796875,893753265,508879756,0,3657085183,0.31,0.23,0.18,28991029248,12579622912,16411406336,43.4,0,0,16832106496,2540482560,84.9,14291623936,2540482560,1.023E+12,6.6375E+11,3.5925E+11,64.9,10893620,2932972,1.71107E+11,1.27348E+11,10978,1513,205298986,598840457,262062,534646,0,0,0,0,normal
1723900245,16158.749999999998,10727.1875,2445524.125,814.734375,752.796875,893765907,508891738,0,3657146846,0.31,0.23,0.18,28991029248,12578537472,16412491776,43.4,0,0,16832106496,2538053632,84.9,14294052864,2538053632,1.023E+12,6.63751E+11,3.5925E+11,64.9,10893751,2933018,1.71108E+11,1.27349E+11,10978,1513,205656258,598858196,262076,534812,0,0,0,0,normal
1723900245.6919694,16159.312499999998,10727.8125,2445535.156,814.78125,752.796875,893808058,508913114,0,3657351207,0.31,0.23,0.18,28991029248,12587065344,16403963904,43.4,0,0,16832106496,2522370048,85,14309736448,2522370048,1.023E+12,6.63751E+11,3.5925E+11,64.9,10893823,2933087,1.7111E+11,1.27351E+11,10978,1513,206020364,598880074,262125,534978,0,0,0,0,normal
1723900246.693305,16160.015624999998,10729.26563,2445545.016,814.828125,752.8125,893867113,509016652,0,3657630127,0.31,0.23,0.18,28991029248,12593946624,16397082624,43.4,0,0,16832106496,2020835328,88,14811271168,2020835328,1.023E+12,6.63751E+11,3.59249E+11,64.9,10894210,2933131,1.71116E+11,1.27351E+11,10978,1513,206378479,598897211,262142,535126,0,0,0,0,normal
1723900247.6940327,16160.328124999998,10729.89063,2445556.078,814.84375,752.8125,893891600,509036473,0,3657854099,0.31,0.23,0.18,28991029248,12576645120,16414384128,43.4,0,0,16832106496,2088730624,87.6,14743375872,2088730624,1.023E+12,6.63751E+11,3.59249E+11,64.9,10894258,2933196,1.71118E+11,1.27353E+11,10978,1513,206740094,598916764,262162,535298,0,0,0,0,normal
1723900248.6967375,16160.921874999998,10731,2445566.266,814.875,752.828125,893946438,509080297,0,3658089204,0.29,0.23,0.18,28991029248,12565471232,16425558016,43.3,0,0,16832106496,2151084032,87.2,14681022464,2151084032,1.023E+12,6.63751E+11,3.59249E+11,64.9,10894592,2933307,1.71124E+11,1.27357E+11,10978,1513,207098230,598932403,262172,535455,0,0,0,0,normal
1723900249.6992104,16161.218749999998,10731.1875,2445577.781,814.875,752.84375,893965259,509103322,0,3658159476,0.29,0.23,0.18,28991029248,12555894784,16435134464,43.3,0,0,16832106496,2091933696,87.6,14740172800,2091933696,1.023E+12,6.63751E+11,3.59249E+11,64.9,10894613,2933367,1.71125E+11,1.27358E+11,10978,1513,207457180,598946702,262187,535586,0,0,0,0,normal
1723900250.704683,16161.671874999998,10731.4375,2445589.156,814.890625,752.84375,893982531,509119267,0,3658223882,0.29,0.23,0.18,28991029248,12573155328,16417873920,43.4,0,0,16832106496,2086105088,87.6,14746001408,2086105088,1.023E+12,6.6375E+11,3.59251E+11,64.9,10895345,2933400,1.71322E+11,1.27359E+11,10984,1513,207820118,598962866,262219,535718,0,0,0,0,normal
1723900251.7060454,16161.953124999998,10731.53125,2445600.891,814.90625,752.84375,894004966,509132085,0,3658312343,0.29,0.23,0.18,28991029248,12571365376,16419663872,43.4,0,0,16832106496,2155950080,87.2,14676156416,2155950080,1.023E+12,6.6375E+11,3.5925E+11,64.9,10895433,2933476,1.71326E+11,1.2736E+11,10984,1513,208180677,598977933,262244,535859,0,0,0,0,normal
1723900252.7091496,16162.281249999998,10731.8125,2445612.391,814.921875,752.84375,894044693,509154180,0,3658488039,0.29,0.23,0.18,28991029248,12560728064,16430301184,43.3,0,0,16832106496,2097127424,87.5,14734979072,2097127424,1.023E+12,6.6375E+11,3.5925E+11,64.9,10895786,2933598,1.71328E+11,1.27366E+11,10984,1513,208550219,599005804,262294,536049,0,0,0,0,normal
1723900253.710793,16162.562499999998,10732.32813,2445623.5,814.9375,752.84375,894073383,509169580,0,3658599549,0.26,0.22,0.18,28991029248,12558290944,16432738304,43.3,0,0,16832106496,2087731200,87.6,14744375296,2087731200,1.023E+12,6.6375E+11,3.5925E+11,64.9,10895806,2933687,1.71329E+11,1.27367E+11,10984,1513,208910527,599021280,262308,536204,0,0,0,0,normal
1723900254.712159,16162.812499999998,10732.67188,2445635,814.9375,752.859375,894099648,509189231,0,3658707302,0.26,0.22,0.18,28991029248,12564017152,16427012096,43.3,0,0,16832106496,2210983936,86.9,14621122560,2210983936,1.023E+12,6.6375E+11,3.5925E+11,64.9,10896030,2933720,1.71331E+11,1.27368E+11,10984,1513,209294910,599037882,262323,536373,0,0,0,0,normal
1723900255.7136858,16163.234374999998,10733.03125,2445646.125,814.9375,752.859375,894145668,509210804,0,3658892150,0.26,0.22,0.18,28991029248,12549218304,16441810944,43.3,0,0,16832106496,2222088192,86.8,14610018304,2222088192,1.023E+12,6.6375E+11,3.5925E+11,64.9,10896033,2933787,1.71331E+11,1.27369E+11,10984,1513,209674078,599055556,262346,536544,0,0,0,0,normal
1723900256.7168841,16163.484374999998,10733.26563,2445657.922,814.9375,752.875,894163458,509220667,0,3658972930,0.26,0.22,0.18,28991029248,12568563712,16422465536,43.4,0,0,16832106496,2234843136,86.7,14597263360,2234843136,1.023E+12,6.63751E+11,3.5925E+11,64.9,10896259,2933861,1.71333E+11,1.27371E+11,10985,1513,210035394,599069611,262358,536665,0,0,0,0,normal
1723900257.7193422,16163.843749999998,10733.79688,2445669.031,814.984375,752.875,894191026,509234992,0,3659078604,0.26,0.22,0.18,28991029248,12557434880,16433594368,43.3,0,0,16832106496,2186952704,87,14645153792,2186952704,1.023E+12,6.63751E+11,3.5925E+11,64.9,10896259,2933913,1.71333E+11,1.27373E+11,10985,1513,210399205,599087810,262372,536839,0,0,0,0,normal
1723900258.7218482,16163.921874999998,10734.04688,2445680.641,815,752.875,894220978,509250631,0,3659192092,0.24,0.22,0.18,28991029248,12550180864,16440848384,43.3,0,0,16832106496,2229309440,86.8,14602797056,2229309440,1.023E+12,6.63751E+11,3.59249E+11,64.9,10896459,2933992,1.71334E+11,1.27377E+11,10985,1513,210761147,599101850,262382,536968,0,0,0,0,normal
1723900259.7248921,16164.281249999998,10734.14063,2445692.109,815,752.890625,894238418,509261899,0,3659246276,0.24,0.22,0.18,28991029248,12559769600,16431259648,43.3,0,0,16832106496,2208075776,86.9,14624030720,2208075776,1.023E+12,6.63751E+11,3.59249E+11,64.9,10896750,2934040,1.71343E+11,1.27377E+11,10985,1513,211126362,599121353,262399,537127,0,0,0,0,normal
1723900260.7278109,16164.671874999998,10734.67188,2445703.328,815.015625,752.921875,894267612,509278766,0,3659374128,0.24,0.22,0.18,28991029248,12529659904,16461369344,43.2,0,0,16832106496,2293637120,86.4,14538469376,2293637120,1.023E+12,6.63751E+11,3.59249E+11,64.9,10897052,2934104,1.71346E+11,1.27379E+11,10985,1513,211492437,599141785,262426,537286,0,0,0,0,normal
1723900261.7278955,16164.937499999998,10734.875,2445714.734,815.03125,752.921875,894278865,509285249,0,3659453241,0.24,0.22,0.18,28991029248,12522344448,16468684800,43.2,0,0,16832106496,2347520000,86.1,14484586496,2347520000,1.023E+12,6.63751E+11,3.59249E+11,64.9,10897056,2934147,1.71346E+11,1.27379E+11,10985,1513,211862362,599158965,262460,537450,0,0,0,0,normal
1723900262.7305954,16165.218749999998,10735.125,2445726.328,815.046875,752.9375,894328059,509310010,0,3659667560,0.24,0.22,0.18,28991029248,12524343296,16466685952,43.2,0,0,16832106496,2358255616,86,14473850880,2358255616,1.023E+12,6.63751E+11,3.59249E+11,64.9,10897366,2934219,1.71349E+11,1.2738E+11,10985,1513,212234439,599179459,262508,537599,0,0,0,0,normal
