_timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout,label
1723899373,15963.96875,10539.40625,2435442.172,801.90625,744.109375,873193716,498178663,0,3567086340,0.65,0.35,0.15,28991029248,11555450880,17435578368,39.9,0,0,16832106496,2315083776,86.2,14517022720,2315083776,1020000000000.00,664000000000.00,359000000000.00,64.9,10777626,2878313,170000000000.00,125000000000.00,10950,1501,32541798,550949235,232877,436352,0,0,0,0,normal
1723899374,15964.1875,10539.95313,2435453.578,801.921875,744.109375,873209235,498209852,0,3567187307,0.65,0.35,0.15,28991029248,11571200000,17419829248,39.9,0,0,16832106496,2340585472,86.1,14491521024,2340585472,1020000000000.00,664000000000.00,359000000000.00,64.9,10777629,2878327,170000000000.00,125000000000.00,10950,1501,32542774,550954792,232892,436371,0,0,0,0,normal
1723899375,15964.53125,10540.25,2435464.859,801.921875,744.109375,873234781,498257415,0,3567320772,0.65,0.35,0.15,28991029248,11577061376,17413967872,39.9,0,0,16832106496,2317897728,86.2,14514208768,2317897728,1020000000000.00,664000000000.00,359000000000.00,64.9,10777764,2878385,170000000000.00,125000000000.00,10950,1501,32574908,550968878,232925,436432,0,0,0,0,normal
1723899376,15964.64062,10540.32813,2435476.766,801.921875,744.109375,873269787,498317629,0,3567508677,0.65,0.35,0.15,28991029248,11568345088,17422684160,39.9,0,0,16832106496,2254692352,86.6,14577414144,2254692352,1020000000000.00,664000000000.00,359000000000.00,64.9,10777767,2878414,170000000000.00,125000000000.00,10950,1501,32575268,550973967,232932,436442,0,0,0,0,normal
1723899377,15965.09375,10540.65625,2435487.844,801.953125,744.125,873294297,498338727,0,3567635227,0.6,0.34,0.15,28991029248,11540901888,17450127360,39.8,0,0,16832106496,2307665920,86.3,14524440576,2307665920,1020000000000.00,664000000000.00,359000000000.00,64.9,10777925,2878512,170000000000.00,125000000000.00,10950,1501,32599847,550978718,232938,436457,0,0,0,0,normal
1723899378,15965.32812,10540.8125,2435499.516,802.015625,744.125,873315980,498347939,0,3567741710,0.6,0.34,0.15,28991029248,11541102592,17449926656,39.8,0,0,16832106496,2313076736,86.3,14519029760,2313076736,1020000000000.00,664000000000.00,359000000000.00,64.9,10777926,2878534,170000000000.00,125000000000.00,10950,1501,32614329,550984292,232951,436474,0,0,0,0,normal
1723899379,15965.48437,10540.96875,2435511.422,802.03125,744.125,873344032,498359775,0,3567853569,0.6,0.34,0.15,28991029248,11550523392,17440505856,39.8,0,0,16832106496,2292912128,86.4,14539194368,2292912128,1020000000000.00,664000000000.00,359000000000.00,64.9,10778150,2878567,170000000000.00,125000000000.00,10950,1501,32638447,550988511,232958,436494,0,0,0,0,normal
1723899380,15965.5,10541.03125,2435523.406,802.046875,744.125,873356266,498364243,0,3567915852,0.6,0.34,0.15,28991029248,11543965696,17447063552,39.8,0,0,16832106496,2314657792,86.2,14517448704,2314657792,1020000000000.00,664000000000.00,359000000000.00,64.9,10778150,2878571,170000000000.00,125000000000.00,10950,1501,32641633,550996468,232969,436509,0,0,0,0,normal
1723899381,15965.78125,10541.375,2435534.953,802.0625,744.125,873416834,498397763,0,3568119112,0.6,0.34,0.15,28991029248,11522564096,17468465152,39.7,0,0,16832106496,2289496064,86.4,14542610432,2289496064,1020000000000.00,664000000000.00,359000000000.00,64.9,10778451,2878703,170000000000.00,125000000000.00,10950,1501,32675201,551006457,232995,436551,0,0,0,0,normal
1723899382,15965.96875,10541.5,2435546.5,802.0625,744.125,873496601,498437535,0,3568323051,0.63,0.35,0.15,28991029248,11520659456,17470369792,39.7,0,0,16832106496,2282713088,86.4,14549393408,2282713088,1020000000000.00,664000000000.00,359000000000.00,64.9,10778453,2878758,170000000000.00,125000000000.00,10950,1501,32680135,551012133,233004,436565,0,0,0,0,normal
